Node,Node type,Lat,Lon,Weight 1,Edge1,Edge1 Name,Type,Weight 2,Edge2,Edge2 Name,Type,Weight 3,Edge3,Edge3 Name,Type,Weight 4,Edge4,Edge4 Name,Type,Weight 5,Edge5,Edge5 Name,Type
BEF SUMANG LANE (65541),Bus Stop,1.4035631,103.8912229,380,BLK 226A (65531),382/382A,Bus,12,AFT SUMANG LANE (65549),walking,walk,,,,,,,,,,,,
AFT SUMANG LANE (65549),Bus Stop,1.4035348,103.8911173,224,OPP BLK 227A (65559),382,Bus,,,,,,,,,,,,,,,,
BLK 226A (65531),Bus Stop,1.4024059,103.8935935,353,BLK 259 CP (65499),382,Bus,18,BLK 224A (65539),walking,walk,,,,,,,,,,,,
BLK 224A (65539),Bus Stop,1.4022917,103.8936935,402,AFT SUMANG LANE (65549),382,Bus,,,,,,,,,,,,,,,,
OPP BLK 227A (65559),Bus Stop,1.404091,103.8925456,389,BLK 258A (65579),382,Bus,100,BLK 227A (65551),walking,walk,,,,,,,,,,,,
BLK 227A (65551),Bus Stop,1.4037399,103.8933688,303,BEF SUMANG LANE (65541),382/382A,Bus,,,,,,,,,,,,,,,,
BLK 259 CP (65499),Bus Stop,1.4045514,103.8949706,366,BLK 224A (65539),382,Bus,11,OPP BLK 259 CP (65491),walking,walk,,,,,,,,,,,,
OPP BLK 259 CP (65491),Bus Stop,1.4045632,103.8949605,417,OPP BLK 315B (65441),382,Bus,,,,,,,,,,,,,,,,
BLK 315B (65449),Bus Stop,1.4080408,103.8959312,411,BLK 259 CP (65499),382,Bus,20,OPP BLK 315B (65441),walking,walk,,,,,,,,,,,,
OPP BLK 315B (65441),Bus Stop,1.4081777,103.8957926,342,BLK 322 CP (65451),382,Bus,,,,,,,,,,,,,,,,
OPP BLK 322 CP (65459),Bus Stop,1.4106095,103.8977217,347,BLK 315B (65449),382,Bus,18,BLK 322 CP (65451),walking,walk,,,,,,,,,,,,
BLK 322 CP (65451),Bus Stop,1.41069,103.8975919,513,BLK 312 CP (65461),382,Bus,,,,,,,,,,,,,,,,
NIBONG STN EXIT B (65611),Bus Stop,1.4113806,103.9003026,288,BLK 312 CP (65461),84,Bus,37,NIBONG STN EXIT A (65619),walking,walk,,,,,,,,,,,,
NIBONG STN EXIT A (65619),Bus Stop,1.4115376,103.9000027,625,SAMUDERA STN EXIT A (65629),84,Bus,,,,,,,,,,,,,,,,
SAMUDERA STN EXIT B (65621),Bus Stop,1.4160837,103.9024832,587,NIBONG STN EXIT B (65611),84,Bus,42,SAMUDERA STN EXIT A (65629),walking,walk,,,,,,,,,,,,
SAMUDERA STN EXIT A (65629),Bus Stop,1.4164597,103.9025213,340,BEF PUNGGOL PT STN (65639),84,Bus,,,,,,,,,,,,,,,,
AFT PUNGGOL PT STN (65631),Bus Stop,1.4173063,103.9054176,384,SAMUDERA STN EXIT B (65621),84,Bus,29,BEF PUNGGOL PT STN (65639),walking,walk,,,,,,,,,,,,
BEF PUNGGOL PT STN (65639),Bus Stop,1.4175524,103.9053085,493,OPP TRACK 22 (65121),84,Bus,,,,,,,,,,,,,,,,
AFT TRACK 22 (65129),Bus Stop,1.4163699,103.9096651,483,AFT PUNGGOL PT STN (65631),84,Bus,44,OPP TRACK 22 (65121),walking,walk,,,,,,,,,,,,
OPP TRACK 22 (65121),Bus Stop,1.4167058,103.9094801,606,PUNGGOL RD END (65139),84,Bus,,,,,,,,,,,,,,,,
PUNGGOL RD END (65139),Bus Stop,1.4206254,103.9105347,479,AFT TRACK 22 (65129),84,Bus,,,,,,,,,,,,,,,,
BLK 312 CP (65461),Bus Stop,1.4098589,103.9012999,695,BEF PUNGGOL DR (65481),84/382,Bus,38,BLK 310B (65469),walking,walk,,,,,,,,,,,,
BLK 310B (65469),Bus Stop,1.4098231,103.9009779,269,NIBONG STN EXIT A (65619),84,Bus,473,OPP BLK 322 CP (65459),382,Bus,,,,,,,,,,,,
BEF PUNGGOL DR (65481),Bus Stop,1.4088652,103.9060396,627,BLK 604A (65099),84,Bus,360,PUNGGOL VIEW PR SCH (65351),382,Bus,85,AFT PUNGGOL DR (65489),walking,walk,,,,,,,,
AFT PUNGGOL DR (65489),Bus Stop,1.408195,103.905669,844,BLK 310B (65469),84/382,Bus,,,,,,,,,,,,,,,,
PUNGGOL VIEW PR SCH (65351),Bus Stop,1.405894,103.9047262,470,PUNGGOL TEMP INT (65009),50/382,Bus,59,OPP PUNGGOL VIEW PR SCH (65359),walking,walk,,,,,,,,,,,,
OPP PUNGGOL VIEW PR SCH (65359),Bus Stop,1.405523,103.904353,330,AFT PUNGGOL DR (65489),382,Bus,725,DAMAI STN EXIT A (65309),50,Bus,,,,,,,,,,,,
PUNGGOL STN/INT (65259),Bus Stop,1.4053531,103.9018684,283,BEF BLK 264 (65409),43/43e/43m/117/118/381,Bus,131,PUNGGOL STN/WATERWAY PT (65251),walking,walk,,,,,,,,,,,,
PUNGGOL STN/WATERWAY PT (65251),Bus Stop,1.4050262,103.9029962,227,BLK 303D (65221),381,Bus,,,,,,,,,,,,,,,,
BEF BLK 264 (65409),Bus Stop,1.406245,103.8995745,403,SOO TECK STN (65141),43/43e/43m/117/118/381,Bus,100,OPP BLK 264A (65401),walking,walk,,,,,,,,,,,,
OPP BLK 264A (65401),Bus Stop,1.4065318,103.8987118,909,PUNGGOL TEMP INT (65009),43/43e/43m/117/118/381,Bus,,,,,,,,,,,,,,,,
SOO TECK STN (65141),Bus Stop,1.4045481,103.8971639,243,TWIN WATERFALLS (65431),43/43e/43m/117/118,Bus,253,BLK 268C (65339),381,Bus,29,SOO TECK STN (65149),walking,walk,,,,,,,,
SOO TECK STN (65149),Bus Stop,1.4044405,103.8969248,357,OPP BLK 264A (65401),43/43e/43m/117/118/381,Bus,,,,,,,,,,,,,,,,
TWIN WATERFALLS (65431),Bus Stop,1.4023894,103.8967356,85,AFT TPE (65439),walking,walk,,,,,,,,,,,,,,,,
AFT TPE (65439),Bus Stop,1.4017253,103.8963181,307,SOO TECK STN (65149),43/43e/43m/117/118,Bus,331,BLK 268C (65339),119/666,Bus,,,,,,,,,,,,
BLK 218 (65571),Bus Stop,1.4034786,103.8955302,240,BLK 227A (65551),382,Bus,54,BLK 258A (65579),walking,walk,,,,,,,,,,,,
BLK 258A (65579),Bus Stop,1.4035609,103.8960266,228,BLK 268C (65339),382,Bus,,,,,,,,,,,,,,,,
OPP BLK 268D (65331),Bus Stop,1.402865,103.898518,280,TWIN WATERFALLS (65431),119/666,Bus,321,SOO TECK STN (65149),381,Bus,345,BLK 218 (65571),382,Bus,579,BLK 227A (65551),382A,Bus,61,BLK 268C (65339),walking,walk
BLK 268C (65339),Bus Stop,1.4031331,103.8980439,322,BLK 272C (65349),119/381/382/666,Bus,,,,,,,,,,,,,,,,
OPP BLK 272C (65341),Bus Stop,1.4019469,103.900923,286,OPP BLK 268D (65331),119/381/382/382A/666,Bus,35,BLK 272C (65349),walking,walk,,,,,,,,,,,,
BLK 272C (65349),Bus Stop,1.4022209,103.9007796,452,PUNGGOL TEMP INT (65009),119/381/382,Bus,271,OPP BLK 201A (65201),666,Bus,,,,,,,,,,,,
AFT PUNGGOL RD (65209),Bus Stop,1.4003913,103.9039358,564,PUNGGOL TEMP INT (65009),62/82,Bus,376,OPP BLK 272C (65341),666,Bus,133,OPP BLK 201A (65201),walking,walk,,,,,,,,
OPP BLK 201A (65201),Bus Stop,1.4011238,103.9029735,385,BLK 102C (65079),82,Bus,477,COVE STN EXIT B (65151),62/62A,Bus,,,,,,,,,,,,
BLK 102C (65079),Bus Stop,1.3989357,103.904748,83,OPP BLK 103A (65071),walking,walk,,,,,,,,,,,,,,,,
OPP BLK 103A (65071),Bus Stop,1.3984507,103.9041638,306,OPP BLK 199C (65081),34,Bus,291,AFT PUNGGOL RD (65209),82,Bus,410,COVE STN EXIT B (65151),3/6N/83/135,Bus,,,,,,,,
OPP BLK 296 (65089),Bus Stop,1.4013395,103.9058051,296,BLK 102C (65079),34/34A,Bus,71,OPP BLK 199C (65081),walking,walk,,,,,,,,,,,,
OPP BLK 199C (65081),Bus Stop,1.4009216,103.9053104,310,BLK 298 (65229),34,Bus,,,,,,,,,,,,,,,,
BLK 604A (65099),Bus Stop,1.4044678,103.9071143,282,BLK 298 (65229),84,Bus,83,BLK 301A (65091),walking,walk,,,,,,,,,,,,
BLK 301A (65091),Bus Stop,1.4039796,103.9065564,627,AFT PUNGGOL DR (65489),84,Bus,,,,,,,,,,,,,,,,
BLK 303D (65221),Bus Stop,1.4040284,103.9048076,390,OPP BLK 296 (65089),34/34A,Bus,286,BLK 301A (65091),84,Bus,123,BLK 298 (65229),walking,walk,404,PUNGGOL SEC/BLK 601B (65281),3/83/85/136/381/386/386A,Bus,,,,
BLK 298 (65229),Bus Stop,1.4032022,103.9055693,493,PUNGGOL TEMP INT (65009),3/34/83/84/85/136/386,Bus,346,AFT PUNGGOL CTRL (65219),6N,Bus,474,PUNGGOL STN/INT (65259),381,Bus,,,,,,,,
AFT PUNGGOL CTRL (65219),Bus Stop,1.4032666,103.9032588,316,OPP BLK 201A (65201),6N,Bus,123,PUNGGOL TEMP INT (65009),walking,walk,,,,,,,,,,,,
PUNGGOL TEMP INT (65009),Bus Stop,1.4037063,103.9022434,493,PUNGGOL STN/INT (65259),43/43m/43e/117/118,Bus,461,BLK 272C (65349),119/381/382/382A,Bus,416,BLK 303D (65221),3/34/34A/62/82/83/84/85/136/386,Bus,425,OPP PUNGGOL VIEW PR SCH (65359),50,Bus,,,,
COVE STN EXIT B (65151),Bus Stop,1.3988565,103.9066211,35,COVE STN EXIT A (65159),walking,walk,288,MERIDIAN STN EXIT B (65161),3/6N/62/62A/83,Bus,158,BLK 196C (65241),136,Bus,,,,,,,,
COVE STN EXIT A (65159),Bus Stop,1.3985687,103.9066529,311,BLK 102C (65079),3/83/136,Bus,368,AFT PUNGGOL RD (65209),62/666,Bus,,,,,,,,,,,,
